Type;Frame;Id roi;Center_point X;Center_point Y;ROI H;ROI W;Label;Movement;Frame_end;Center_point_end X;Center_point_end Y;ROI_end H;ROI_end W;user
1;0;1;0.4793103448275862;0.49379310344827587;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;1;1;0.45862068965517244;0.49896551724137933;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;2;1;0.4379310344827586;0.5041379310344828;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;3;1;0.41724137931034483;0.5093103448275862;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;4;1;0.39655172413793105;0.5144827586206897;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;5;2;0.5737931034482758;0.49379310344827587;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;6;2;0.5740229885057471;0.4689655172413793;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;7;2;0.5742528735632184;0.4441379310344828;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;8;2;0.5744827586206896;0.4193103448275862;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;9;2;0.5747126436781609;0.39448275862068966;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;10;2;0.5749425287356322;0.3696551724137931;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;11;2;0.5751724137931035;0.3448275862068966;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
0;12;1;0.5758620689655173;0.37517241379310345;0.11;0.22;Person;**;0;0;0;0;0;Annotator3
1;13;3;0.5710344827586207;0.2537931034482759;0.11;0.22;Accessory;True;0;0;0;0;0;Annotator3
1;14;3;0.5480459770114943;0.28229885057471266;0.11;0.22;Accessory;True;0;0;0;0;0;Annotator3
1;15;3;0.5250574712643677;0.31080459770114943;0.11;0.22;Accessory;True;0;0;0;0;0;Annotator3
1;16;3;0.5020689655172413;0.3393103448275862;0.11;0.22;Accessory;True;0;0;0;0;0;Annotator3
1;17;4;0.4924137931034483;0.5448275862068965;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;18;4;0.5005747126436781;0.535632183908046;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;19;4;0.508735632183908;0.5264367816091954;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;20;4;0.516896551724138;0.5172413793103448;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;21;4;0.5250574712643679;0.5080459770114942;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;22;4;0.5332183908045978;0.49885057471264366;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;23;4;0.5413793103448276;0.4896551724137931;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;24;4;0.5495402298850575;0.4804597701149425;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;25;4;0.5577011494252874;0.47126436781609193;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;26;4;0.5658620689655173;0.46206896551724136;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;27;4;0.5740229885057471;0.4528735632183908;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;28;4;0.582183908045977;0.4436781609195402;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;29;4;0.5903448275862069;0.43448275862068964;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;30;18;0.5758620689655173;0.37517241379310345;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;31;18;0.5795402298850575;0.39770114942528734;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;32;18;0.5832183908045977;0.4202298850574713;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;33;18;0.5868965517241379;0.44275862068965516;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;34;5;0.4889655172413793;0.5365517241379311;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;35;5;0.4647816091954023;0.535080459770115;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;36;5;0.4405977011494253;0.5336091954022989;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;37;5;0.4164137931034483;0.5321379310344828;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;38;5;0.39222988505747125;0.5306666666666667;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;39;5;0.3680459770114943;0.5291954022988506;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;40;5;0.34386206896551724;0.5277241379310346;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;41;5;0.36344827586206896;0.5282758620689655;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;42;5;0.3650862068965517;0.5275862068965517;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;43;5;0.3667241379310345;0.526896551724138;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;44;5;0.36836206896551726;0.5262068965517241;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;45;5;0.37;0.5255172413793103;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;46;5;0.3716379310344827;0.5248275862068965;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;47;5;0.3732758620689655;0.5241379310344827;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;48;5;0.3749137931034483;0.523448275862069;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;49;5;0.37655172413793103;0.5227586206896552;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;50;6;0.6896551724137931;0.4910344827586207;0.11;0.22;Outdoor;True;0;0;0;0;0;Annotator3
1;51;6;0.7177011494252874;0.4918007662835249;0.11;0.22;Outdoor;True;0;0;0;0;0;Annotator3
1;52;6;0.7457471264367816;0.49256704980842914;0.11;0.22;Outdoor;True;0;0;0;0;0;Annotator3
1;53;6;0.7737931034482759;0.49333333333333335;0.11;0.22;Outdoor;True;0;0;0;0;0;Annotator3
1;54;6;0.8018390804597701;0.49409961685823756;0.11;0.22;Outdoor;True;0;0;0;0;0;Annotator3
1;55;6;0.8298850574712644;0.49486590038314177;0.11;0.22;Outdoor;True;0;0;0;0;0;Annotator3
1;56;6;0.8579310344827586;0.495632183908046;0.11;0.22;Outdoor;True;0;0;0;0;0;Annotator3
1;57;6;0.8859770114942529;0.4963984674329502;0.11;0.22;Outdoor;True;0;0;0;0;0;Annotator3
1;58;6;0.9140229885057471;0.4971647509578544;0.11;0.22;Outdoor;True;0;0;0;0;0;Annotator3
1;59;6;0.9420689655172414;0.4979310344827586;0.11;0.22;Outdoor;True;0;0;0;0;0;Annotator3
1;60;7;0.5358620689655172;0.4482758620689655;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;61;7;0.5380459770114943;0.44724137931034486;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;62;7;0.5402298850574713;0.44620689655172413;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;63;7;0.5424137931034483;0.44517241379310346;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;64;7;0.5445977011494253;0.4441379310344828;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;65;7;0.5467816091954023;0.44310344827586207;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;66;7;0.5489655172413793;0.4420689655172414;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;67;7;0.5511494252873563;0.4410344827586207;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;68;7;0.5533333333333333;0.44;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;69;7;0.5555172413793104;0.43896551724137933;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;70;7;0.5577011494252874;0.43793103448275866;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;71;7;0.5598850574712644;0.43689655172413794;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;72;7;0.5620689655172414;0.43586206896551727;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;73;8;0.16689655172413792;0.48;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;74;8;0.1623645320197044;0.47586206896551725;0.10857142857142857;0.21428571428571427;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;75;8;0.15783251231527093;0.47172413793103446;0.10714285714285715;0.20857142857142857;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;76;8;0.15330049261083742;0.4675862068965517;0.10571428571428572;0.20285714285714285;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;77;8;0.14876847290640394;0.46344827586206894;0.10428571428571429;0.19714285714285715;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;78;8;0.14423645320197043;0.4593103448275862;0.10285714285714286;0.19142857142857142;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;79;8;0.13970443349753695;0.45517241379310347;0.10142857142857144;0.18571428571428572;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;80;8;0.13517241379310344;0.4510344827586207;0.1;0.18;Architecture/buildings;True;0;0;0;0;0;Annotator3
1;81;9;0.12482758620689655;0.5006896551724138;0.06;0.11;Vehicle;True;0;0;0;0;0;Annotator3
1;82;9;0.12735632183908047;0.5013793103448276;0.06;0.11;Vehicle;True;0;0;0;0;0;Annotator3
1;83;9;0.12988505747126436;0.5020689655172415;0.06;0.11;Vehicle;True;0;0;0;0;0;Annotator3
1;84;9;0.13241379310344828;0.5027586206896553;0.06;0.11;Vehicle;True;0;0;0;0;0;Annotator3
1;85;9;0.1349425287356322;0.503448275862069;0.06;0.11;Vehicle;True;0;0;0;0;0;Annotator3
1;86;9;0.1374712643678161;0.5041379310344828;0.06;0.11;Vehicle;True;0;0;0;0;0;Annotator3
1;87;9;0.14;0.5048275862068966;0.06;0.11;Vehicle;True;0;0;0;0;0;Annotator3
1;88;10;0.1296551724137931;0.5089655172413793;0.06;0.11;Vehicle;True;0;0;0;0;0;Annotator3
1;89;10;0.13278514588859416;0.5092838196286472;0.06230769230769231;0.11384615384615385;Vehicle;True;0;0;0;0;0;Annotator3
1;90;10;0.13591511936339523;0.5096021220159151;0.06461538461538462;0.1176923076923077;Vehicle;True;0;0;0;0;0;Annotator3
1;91;10;0.13904509283819627;0.509920424403183;0.06692307692307692;0.12153846153846154;Vehicle;True;0;0;0;0;0;Annotator3
1;92;10;0.14217506631299734;0.5102387267904509;0.06923076923076923;0.12538461538461537;Vehicle;True;0;0;0;0;0;Annotator3
1;93;10;0.1453050397877984;0.5105570291777188;0.07153846153846154;0.12923076923076923;Vehicle;True;0;0;0;0;0;Annotator3
1;94;10;0.14843501326259947;0.5108753315649868;0.07384615384615384;0.1330769230769231;Vehicle;True;0;0;0;0;0;Annotator3
1;95;10;0.15156498673740051;0.5111936339522546;0.07615384615384616;0.13692307692307693;Vehicle;True;0;0;0;0;0;Annotator3
1;96;10;0.15469496021220158;0.5115119363395225;0.07846153846153846;0.14076923076923076;Vehicle;True;0;0;0;0;0;Annotator3
1;97;10;0.15782493368700265;0.5118302387267905;0.08076923076923076;0.14461538461538462;Vehicle;True;0;0;0;0;0;Annotator3
1;98;10;0.16095490716180372;0.5121485411140584;0.08307692307692308;0.14846153846153848;Vehicle;True;0;0;0;0;0;Annotator3
1;99;10;0.16408488063660476;0.5124668435013262;0.08538461538461538;0.1523076923076923;Vehicle;True;0;0;0;0;0;Annotator3
1;100;10;0.16721485411140583;0.5127851458885941;0.08769230769230768;0.15615384615384614;Vehicle;True;0;0;0;0;0;Annotator3
1;101;10;0.1703448275862069;0.5131034482758621;0.09;0.16;Vehicle;True;0;0;0;0;0;Annotator3
1;102;11;0.17517241379310344;0.5158620689655172;0.09;0.16;Vehicle;True;0;0;0;0;0;Annotator3
1;103;11;0.18091954022988505;0.5163218390804598;0.09166666666666666;0.165;Vehicle;True;0;0;0;0;0;Annotator3
1;104;11;0.18666666666666665;0.5167816091954023;0.09333333333333332;0.17;Vehicle;True;0;0;0;0;0;Annotator3
1;105;11;0.19241379310344828;0.5172413793103448;0.095;0.175;Vehicle;True;0;0;0;0;0;Annotator3
1;106;11;0.19816091954022988;0.5177011494252873;0.09666666666666666;0.18;Vehicle;True;0;0;0;0;0;Annotator3
1;107;11;0.20390804597701148;0.5181609195402299;0.09833333333333333;0.185;Vehicle;True;0;0;0;0;0;Annotator3
1;108;11;0.2096551724137931;0.5186206896551724;0.1;0.19;Vehicle;True;0;0;0;0;0;Annotator3
1;109;11;0.2154022988505747;0.5190804597701149;0.10166666666666667;0.195;Vehicle;True;0;0;0;0;0;Annotator3
1;110;11;0.22114942528735632;0.5195402298850574;0.10333333333333333;0.2;Vehicle;True;0;0;0;0;0;Annotator3
1;111;11;0.22689655172413792;0.52;0.105;0.20500000000000002;Vehicle;True;0;0;0;0;0;Annotator3
1;112;11;0.23264367816091952;0.5204597701149425;0.10666666666666666;0.21000000000000002;Vehicle;True;0;0;0;0;0;Annotator3
1;113;11;0.23839080459770115;0.520919540229885;0.10833333333333334;0.215;Vehicle;True;0;0;0;0;0;Annotator3
1;114;11;0.24413793103448275;0.5213793103448275;0.11;0.22;Vehicle;True;0;0;0;0;0;Annotator3
1;115;12;0.41517241379310343;0.5517241379310345;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;116;12;0.4386206896551724;0.5505747126436782;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;117;12;0.46206896551724136;0.5494252873563218;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;118;12;0.48551724137931035;0.5482758620689655;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;119;12;0.5089655172413793;0.5471264367816092;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;120;12;0.5324137931034483;0.5459770114942528;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;121;12;0.5558620689655173;0.5448275862068965;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;122;13;0.5613793103448276;0.5379310344827586;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;123;13;0.52;0.5406896551724137;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;124;13;0.4786206896551724;0.543448275862069;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;125;13;0.43724137931034485;0.5462068965517242;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;126;14;0.45379310344827584;0.5586206896551724;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
1;127;14;0.43434482758620685;0.536;0.11;0.22;Person;True;0;0;0;0;0;Annotator3
