Type;Frame;Id roi;Center_point X;Center_point Y;ROI H;ROI W;Label;Movement;Frame_end;Center_point_end X;Center_point_end Y;ROI_end H;ROI_end W;user
1;0;1;0.4917241379310345;0.526896551724138;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;1;1;0.49195402298850577;0.5267432950191571;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;2;1;0.492183908045977;0.5265900383141763;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;3;1;0.4924137931034483;0.5264367816091954;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;4;1;0.49264367816091953;0.5262835249042146;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;5;1;0.4928735632183908;0.5261302681992337;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;6;1;0.49310344827586206;0.5259770114942529;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;7;1;0.49333333333333335;0.525823754789272;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;8;1;0.4935632183908046;0.5256704980842912;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;9;1;0.49379310344827587;0.5255172413793103;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;10;2;0.6206896551724138;0.496551724137931;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;11;2;0.6172988505747127;0.4962068965517241;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;12;2;0.6139080459770115;0.4958620689655172;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;13;2;0.6105172413793103;0.49551724137931036;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;14;2;0.6071264367816092;0.49517241379310345;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;15;2;0.603735632183908;0.49482758620689654;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;16;2;0.6003448275862069;0.4944827586206897;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;17;2;0.5969540229885058;0.4941379310344828;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;18;2;0.5935632183908046;0.49379310344827587;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;19;2;0.5901724137931035;0.49344827586206896;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;20;2;0.5867816091954022;0.49310344827586206;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;21;2;0.5833908045977011;0.4927586206896552;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;22;2;0.58;0.4924137931034483;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;23;3;0.6717241379310345;0.5103448275862069;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;24;3;0.6691833030852995;0.5100544464609801;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;25;3;0.6666424682395644;0.5097640653357532;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;26;3;0.6641016333938294;0.5094736842105263;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;27;3;0.6615607985480944;0.5091833030852995;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;28;3;0.6590199637023594;0.5088929219600726;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;29;3;0.6564791288566243;0.5086025408348458;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;30;3;0.6539382940108893;0.508312159709619;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;31;3;0.6513974591651542;0.508021778584392;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;32;3;0.6488566243194193;0.5077313974591652;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;33;3;0.6463157894736842;0.5074410163339383;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;34;3;0.6437749546279492;0.5071506352087115;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;35;3;0.6412341197822141;0.5068602540834846;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;36;3;0.6386932849364791;0.5065698729582577;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;37;3;0.6361524500907441;0.5062794918330309;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;38;3;0.6336116152450091;0.5059891107078041;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;39;3;0.631070780399274;0.5056987295825772;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;40;3;0.628529945553539;0.5054083484573503;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;41;3;0.6259891107078039;0.5051179673321234;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;42;3;0.623448275862069;0.5048275862068966;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;43;4;0.8117241379310345;0.5282758620689655;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;44;4;0.8040613026819924;0.5275095785440612;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;45;4;0.7963984674329502;0.5267432950191571;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;46;4;0.7887356321839081;0.5259770114942528;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;47;4;0.7810727969348659;0.5252107279693486;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;48;4;0.7734099616858238;0.5244444444444444;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;49;4;0.7657471264367817;0.5236781609195402;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;50;4;0.7580842911877395;0.522911877394636;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;51;4;0.7504214559386974;0.5221455938697318;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;52;4;0.7427586206896551;0.5213793103448275;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;53;4;0.735095785440613;0.5206130268199234;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;54;4;0.7274329501915708;0.5198467432950191;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;55;4;0.7197701149425287;0.519080459770115;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;56;4;0.7121072796934866;0.5183141762452107;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;57;4;0.7044444444444444;0.5175478927203065;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
1;58;4;0.6967816091954023;0.5167816091954023;0.11;0.22;Animal;True;0;0;0;0;0;Annotator4
