Type;Frame;Id roi;Center_point X;Center_point Y;ROI H;ROI W;Label;Movement;Frame_end;Center_point_end X;Center_point_end Y;ROI_end H;ROI_end W;user
1;0;1;0.2620689655172414;0.3503448275862069;0.08;0.1;Vehicle;True;0;0;0;0;0;Annotator9
1;1;1;0.26165810711665444;0.3504328686720469;0.07893617021276596;0.09893617021276596;Vehicle;True;0;0;0;0;0;Annotator9
1;2;1;0.2612472487160675;0.350520909757887;0.07787234042553191;0.09787234042553192;Vehicle;True;0;0;0;0;0;Annotator9
1;3;1;0.26083639031548056;0.35060895084372706;0.07680851063829787;0.09680851063829787;Vehicle;True;0;0;0;0;0;Annotator9
1;4;1;0.26042553191489365;0.3506969919295671;0.07574468085106383;0.09574468085106383;Vehicle;True;0;0;0;0;0;Annotator9
1;5;1;0.2600146735143067;0.3507850330154072;0.0746808510638298;0.0946808510638298;Vehicle;True;0;0;0;0;0;Annotator9
1;6;1;0.25960381511371977;0.35087307410124724;0.07361702127659575;0.09361702127659575;Vehicle;True;0;0;0;0;0;Annotator9
1;7;1;0.2591929567131328;0.3509611151870873;0.0725531914893617;0.09255319148936171;Vehicle;True;0;0;0;0;0;Annotator9
1;8;1;0.2587820983125459;0.3510491562729274;0.07148936170212766;0.09148936170212767;Vehicle;True;0;0;0;0;0;Annotator9
1;9;1;0.2583712399119589;0.3511371973587674;0.07042553191489362;0.09042553191489362;Vehicle;True;0;0;0;0;0;Annotator9
1;10;1;0.257960381511372;0.35122523844460746;0.06936170212765957;0.08936170212765958;Vehicle;True;0;0;0;0;0;Annotator9
1;11;1;0.25754952311078505;0.35131327953044755;0.06829787234042553;0.08829787234042553;Vehicle;True;0;0;0;0;0;Annotator9
1;12;1;0.2571386647101981;0.3514013206162876;0.06723404255319149;0.08723404255319149;Vehicle;True;0;0;0;0;0;Annotator9
1;13;1;0.2567278063096112;0.35148936170212763;0.06617021276595744;0.08617021276595745;Vehicle;True;0;0;0;0;0;Annotator9
1;14;1;0.2563169479090242;0.35157740278796773;0.0651063829787234;0.08510638297872342;Vehicle;True;0;0;0;0;0;Annotator9
1;15;1;0.2559060895084373;0.35166544387380777;0.06404255319148937;0.08404255319148937;Vehicle;True;0;0;0;0;0;Annotator9
1;16;1;0.25549523110785033;0.3517534849596478;0.06297872340425532;0.08297872340425533;Vehicle;True;0;0;0;0;0;Annotator9
1;17;1;0.2550843727072634;0.3518415260454879;0.06191489361702128;0.08191489361702128;Vehicle;True;0;0;0;0;0;Annotator9
1;18;1;0.25467351430667645;0.35192956713132795;0.060851063829787236;0.08085106382978724;Vehicle;True;0;0;0;0;0;Annotator9
1;19;1;0.25426265590608954;0.352017608217168;0.05978723404255319;0.0797872340425532;Vehicle;True;0;0;0;0;0;Annotator9
1;20;1;0.2538517975055026;0.3521056493030081;0.05872340425531915;0.07872340425531915;Vehicle;True;0;0;0;0;0;Annotator9
1;21;1;0.25344093910491566;0.3521936903888481;0.057659574468085104;0.07765957446808511;Vehicle;True;0;0;0;0;0;Annotator9
1;22;1;0.2530300807043287;0.35228173147468816;0.056595744680851066;0.07659574468085106;Vehicle;True;0;0;0;0;0;Annotator9
1;23;1;0.2526192223037418;0.35236977256052826;0.05553191489361702;0.07553191489361702;Vehicle;True;0;0;0;0;0;Annotator9
1;24;1;0.2522083639031548;0.3524578136463683;0.05446808510638298;0.07446808510638298;Vehicle;True;0;0;0;0;0;Annotator9
1;25;1;0.25179750550256785;0.3525458547322084;0.05340425531914894;0.07340425531914894;Vehicle;True;0;0;0;0;0;Annotator9
