Type;Frame;Id roi;Center_point X;Center_point Y;ROI H;ROI W;Label;Movement;Frame_end;Center_point_end X;Center_point_end Y;ROI_end H;ROI_end W;user
1;0;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;0;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;0;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;1;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;1;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;1;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;2;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;2;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;2;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;3;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;3;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;3;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;4;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;4;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;4;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;5;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;5;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;5;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;6;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;6;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;6;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;7;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;7;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;7;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;8;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;8;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;8;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;9;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;9;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;9;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;10;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;10;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;10;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;11;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;11;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;11;1;0.5296551724137931;0.5655172413793104;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;12;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;12;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;12;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;13;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;13;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;13;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;14;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;14;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;14;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;15;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;15;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;15;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;16;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;16;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;16;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;17;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;17;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;17;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;18;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;18;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;18;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;19;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;19;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;19;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;20;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;20;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;20;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;21;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;21;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;21;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;22;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;22;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;22;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;23;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;23;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;23;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;24;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;24;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;24;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
1;25;2;0.5834482758620689;0.38620689655172413;0.11;0.22;Person;False;0;0;0;0;0;Dario
