Type;Frame;Id roi;Center_point X;Center_point Y;ROI H;ROI W;Label;Movement;Frame_end;Center_point_end X;Center_point_end Y;ROI_end H;ROI_end W;user
1;0;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;1;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;2;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;3;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;4;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;5;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;6;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;7;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;8;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;9;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;10;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;11;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;12;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;13;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;14;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;15;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;16;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;17;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;18;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;19;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;20;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;21;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;22;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;23;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;24;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;25;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;26;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;27;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;28;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;29;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;30;1;0.4696551724137931;0.5406896551724137;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;31;2;0.24206896551724139;0.543448275862069;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;32;2;0.24206896551724139;0.543448275862069;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;33;2;0.24206896551724139;0.543448275862069;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;34;2;0.24206896551724139;0.543448275862069;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;35;2;0.24206896551724139;0.543448275862069;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;36;2;0.24206896551724139;0.543448275862069;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;37;2;0.24206896551724139;0.543448275862069;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;38;2;0.24206896551724139;0.543448275862069;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;39;2;0.24206896551724139;0.543448275862069;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;40;2;0.24206896551724139;0.543448275862069;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;41;2;0.24206896551724139;0.543448275862069;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;42;2;0.24206896551724139;0.543448275862069;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;43;2;0.24206896551724139;0.543448275862069;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;44;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;45;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;46;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;47;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;48;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;49;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;50;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;51;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;52;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;53;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;54;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;55;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;56;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;57;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;58;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;59;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;60;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;61;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;62;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;63;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;64;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;65;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;66;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;67;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;68;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;69;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;70;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;71;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;72;3;0.7406896551724138;0.5420689655172414;0.11;0.22;Person;False;0;0;0;0;0;lucas
1;73;4;0.526896551724138;0.5668965517241379;0.11;0.22;Person;True;0;0;0;0;0;lucas
1;74;4;0.5116129032258064;0.5664071190211345;0.11;0.22;Person;True;0;0;0;0;0;lucas
1;75;4;0.496329254727475;0.5659176863181312;0.11;0.22;Person;True;0;0;0;0;0;lucas
1;76;4;0.4810456062291435;0.5654282536151278;0.11;0.22;Person;True;0;0;0;0;0;lucas
1;77;4;0.465761957730812;0.5649388209121246;0.11;0.22;Person;True;0;0;0;0;0;lucas
1;78;4;0.45047830923248056;0.5644493882091212;0.11;0.22;Person;True;0;0;0;0;0;lucas
1;79;4;0.4351946607341491;0.5639599555061179;0.11;0.22;Person;True;0;0;0;0;0;lucas
1;80;4;0.4199110122358176;0.5634705228031145;0.11;0.22;Person;True;0;0;0;0;0;lucas
1;81;4;0.4046273637374861;0.5629810901001112;0.11;0.22;Person;True;0;0;0;0;0;lucas
