Type;Frame;Id roi;Center_point X;Center_point Y;ROI H;ROI W;Label;Movement;Frame_end;Center_point_end X;Center_point_end Y;ROI_end H;ROI_end W;user
1;0;1;0.526896551724138;0.5186206896551724;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;1;1;0.5123563218390805;0.5170689655172414;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;2;1;0.497816091954023;0.5155172413793103;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;3;1;0.48327586206896556;0.5139655172413793;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;4;1;0.46873563218390807;0.5124137931034483;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;5;1;0.4541954022988506;0.5108620689655172;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;6;1;0.43965517241379315;0.5093103448275862;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;7;1;0.42511494252873566;0.5077586206896552;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;8;1;0.4105747126436782;0.5062068965517241;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;9;1;0.3960344827586207;0.5046551724137931;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;10;1;0.3814942528735632;0.5031034482758621;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;11;1;0.36695402298850577;0.501551724137931;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;12;1;0.3524137931034483;0.5;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;13;1;0.3378735632183908;0.4984482758620689;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;14;1;0.32333333333333336;0.4968965517241379;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;15;1;0.3087931034482759;0.49534482758620685;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;16;1;0.2942528735632184;0.4937931034482758;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;17;1;0.2797126436781609;0.4922413793103448;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;18;1;0.2651724137931034;0.49068965517241375;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;19;1;0.250632183908046;0.4891379310344827;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;20;1;0.2360919540229885;0.4875862068965517;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;21;1;0.221551724137931;0.48603448275862066;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;22;1;0.20701149425287357;0.4844827586206896;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;23;1;0.1924712643678161;0.4829310344827586;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;24;1;0.1779310344827586;0.48137931034482756;0.11;0.22;Outdoor;True;0;0;0;0;0;Andre
1;25;2;0.03310344827586207;0.5186206896551724;0.11;0.22;Person;True;0;0;0;0;0;Andre
1;26;2;0.033074307916464304;0.5192617775619233;0.11;0.22;Person;True;0;0;0;0;0;Andre
