Type;Frame;Id roi;Center_point X;Center_point Y;ROI H;ROI W;Label;Movement;Frame_end;Center_point_end X;Center_point_end Y;ROI_end H;ROI_end W;user
1;0;1;0.25862068965517243;0.3448275862068966;0.06;0.11;Vehicle;True;0;0;0;0;0;Marcelo
1;1;1;0.25764367816091954;0.34620689655172415;0.06;0.11;Vehicle;True;0;0;0;0;0;Marcelo
1;2;1;0.2566666666666667;0.34758620689655173;0.06;0.11;Vehicle;True;0;0;0;0;0;Marcelo
1;3;1;0.2556896551724138;0.3489655172413793;0.06;0.11;Vehicle;True;0;0;0;0;0;Marcelo
1;4;1;0.25471264367816093;0.3503448275862069;0.06;0.11;Vehicle;True;0;0;0;0;0;Marcelo
1;5;1;0.25373563218390804;0.35172413793103446;0.06;0.11;Vehicle;True;0;0;0;0;0;Marcelo
1;6;1;0.25275862068965516;0.35310344827586204;0.06;0.11;Vehicle;True;0;0;0;0;0;Marcelo
1;7;1;0.2517816091954023;0.3544827586206897;0.06;0.11;Vehicle;True;0;0;0;0;0;Marcelo
1;8;1;0.25080459770114943;0.35586206896551725;0.06;0.11;Vehicle;True;0;0;0;0;0;Marcelo
1;9;1;0.24982758620689655;0.35724137931034483;0.06;0.11;Vehicle;True;0;0;0;0;0;Marcelo
1;10;1;0.24885057471264369;0.3586206896551724;0.06;0.11;Vehicle;True;0;0;0;0;0;Marcelo
1;11;1;0.24787356321839082;0.36;0.06;0.11;Vehicle;True;0;0;0;0;0;Marcelo
1;12;1;0.24689655172413794;0.36137931034482756;0.06;0.11;Vehicle;True;0;0;0;0;0;Marcelo
1;13;2;0.24344827586206896;0.3544827586206897;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;14;2;0.24365817091454273;0.3548425787106447;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;15;2;0.2438680659670165;0.35520239880059973;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;16;2;0.24407796101949025;0.3555622188905547;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;17;2;0.24428785607196402;0.3559220389805098;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;18;2;0.24449775112443778;0.3562818590704648;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;19;2;0.24470764617691154;0.35664167916041983;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;20;2;0.2449175412293853;0.35700149925037483;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;21;2;0.24512743628185907;0.35736131934032983;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;22;2;0.24533733133433283;0.3577211394302849;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;23;2;0.2455472263868066;0.3580809595202399;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;24;2;0.24575712143928036;0.35844077961019494;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;25;2;0.24596701649175412;0.35880059970014994;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;26;2;0.24617691154422788;0.359160419790105;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;27;2;0.24638680659670165;0.35952023988006;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;28;2;0.2465967016491754;0.35988005997001504;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;29;2;0.24680659670164917;0.36023988005997004;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;30;2;0.24701649175412294;0.36059970014992504;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;31;2;0.2472263868065967;0.3609595202398801;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;32;2;0.24743628185907046;0.3613193403298351;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;33;2;0.24764617691154422;0.36167916041979015;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;34;2;0.247856071964018;0.36203898050974515;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;35;2;0.24806596701649175;0.3623988005997002;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;36;2;0.2482758620689655;0.3627586206896552;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;37;3;0.2482758620689655;0.3489655172413793;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;38;3;0.24864367816091953;0.34933333333333333;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;39;3;0.24901149425287356;0.34970114942528735;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;40;3;0.24937931034482758;0.35006896551724137;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;41;3;0.2497471264367816;0.3504367816091954;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;42;3;0.2501149425287356;0.3508045977011494;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;43;3;0.25048275862068964;0.35117241379310343;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;44;3;0.25085057471264366;0.35154022988505745;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;45;3;0.2512183908045977;0.3519080459770115;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;46;3;0.2515862068965517;0.3522758620689655;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;47;3;0.2519540229885057;0.3526436781609195;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;48;3;0.25232183908045974;0.35301149425287354;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;49;3;0.25268965517241376;0.35337931034482756;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;50;3;0.2530574712643678;0.3537471264367816;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;51;3;0.2534252873563218;0.3541149425287356;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;52;3;0.2537931034482759;0.3544827586206897;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;53;3;0.2541609195402299;0.3548505747126437;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;54;3;0.2545287356321839;0.3552183908045977;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;55;3;0.25489655172413794;0.35558620689655174;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;56;3;0.25526436781609196;0.35595402298850576;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;57;3;0.255632183908046;0.3563218390804598;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;58;3;0.256;0.3566896551724138;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;59;3;0.256367816091954;0.3570574712643678;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;60;3;0.25673563218390805;0.35742528735632184;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;61;3;0.25710344827586207;0.35779310344827586;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;62;3;0.2574712643678161;0.3581609195402299;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;63;3;0.2578390804597701;0.3585287356321839;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;64;3;0.25820689655172413;0.3588965517241379;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;65;3;0.25857471264367815;0.35926436781609195;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;66;3;0.25894252873563217;0.35963218390804597;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;67;3;0.2593103448275862;0.36;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;68;4;0.25724137931034485;0.3627586206896552;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;69;4;0.25674876847290645;0.36261083743842365;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;70;4;0.256256157635468;0.36246305418719216;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;71;4;0.2557635467980296;0.3623152709359606;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;72;4;0.25527093596059114;0.36216748768472906;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;73;4;0.25477832512315274;0.36201970443349757;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;74;4;0.2542857142857143;0.361871921182266;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;75;4;0.2537931034482759;0.36172413793103453;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;76;4;0.2533004926108375;0.361576354679803;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;77;4;0.252807881773399;0.36142857142857143;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;78;4;0.2523152709359606;0.36128078817733994;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;79;4;0.25182266009852217;0.3611330049261084;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;80;4;0.25133004926108377;0.36098522167487684;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;81;4;0.2508374384236453;0.36083743842364535;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;82;4;0.2503448275862069;0.3606896551724138;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;83;4;0.24985221674876848;0.36054187192118226;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;84;4;0.24935960591133005;0.36039408866995076;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;85;4;0.24886699507389162;0.3602463054187192;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;86;4;0.24837438423645322;0.36009852216748767;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;87;4;0.2478817733990148;0.3599507389162562;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;88;4;0.24738916256157636;0.3598029556650246;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;89;4;0.24689655172413794;0.3596551724137931;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
1;90;4;0.2464039408866995;0.3595073891625616;0.06;0.12;Vehicle;True;0;0;0;0;0;Marcelo
