Type;Frame;Id roi;Center_point X;Center_point Y;ROI H;ROI W;Label;Movement;Frame_end;Center_point_end X;Center_point_end Y;ROI_end H;ROI_end W;user
1;0;1;0.6496551724137931;0.5158620689655172;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;1;1;0.6524933687002653;0.5148010610079575;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;2;1;0.6553315649867374;0.5137400530503978;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;3;1;0.6581697612732096;0.5126790450928382;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;4;1;0.6610079575596817;0.5116180371352785;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;5;1;0.6638461538461539;0.5105570291777188;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;6;1;0.666684350132626;0.5094960212201591;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;7;1;0.6695225464190981;0.5084350132625994;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;8;1;0.6723607427055703;0.5073740053050397;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;9;1;0.6751989389920424;0.5063129973474801;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;10;1;0.6780371352785146;0.5052519893899204;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;11;1;0.6808753315649867;0.5041909814323607;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;12;1;0.6837135278514589;0.503129973474801;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;13;1;0.6865517241379311;0.5020689655172413;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;14;1;0.6893899204244032;0.5010079575596816;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;15;1;0.6922281167108754;0.499946949602122;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;16;1;0.6950663129973474;0.49888594164456235;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;17;1;0.6979045092838196;0.49782493368700265;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;18;1;0.7007427055702917;0.49676392572944295;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
1;19;1;0.7035809018567639;0.4957029177718833;0.11;0.22;Person;True;0;0;0;0;0;HenriqueDomingues
