Type;Frame;Id roi;Center_point X;Center_point Y;ROI H;ROI W;Label;Movement;Frame_end;Center_point_end X;Center_point_end Y;ROI_end H;ROI_end W;user
1;0;1;0.636551724137931;0.6055172413793104;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;1;1;0.6363839701770736;0.6056663560111837;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;2;1;0.6362162162162163;0.6058154706430569;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;3;1;0.6360484622553588;0.6059645852749301;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;4;1;0.6358807082945014;0.6061136999068034;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;5;1;0.6357129543336439;0.6062628145386767;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;6;1;0.6355452003727866;0.6064119291705499;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;7;1;0.6353774464119292;0.6065610438024231;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;8;1;0.6352096924510717;0.6067101584342964;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;9;1;0.6350419384902144;0.6068592730661697;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;10;1;0.634874184529357;0.6070083876980429;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;11;1;0.6347064305684995;0.6071575023299162;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;12;1;0.6345386766076422;0.6073066169617894;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;13;1;0.6343709226467847;0.6074557315936626;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;14;1;0.6342031686859273;0.6076048462255359;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;15;1;0.6340354147250699;0.6077539608574092;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;16;1;0.6338676607642125;0.6079030754892825;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;17;1;0.6336999068033551;0.6080521901211556;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;18;1;0.6335321528424976;0.6082013047530289;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;19;1;0.6333643988816403;0.6083504193849022;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;20;1;0.6331966449207829;0.6084995340167755;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;21;1;0.6330288909599254;0.6086486486486486;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;22;1;0.6328611369990681;0.6087977632805219;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;23;1;0.6326933830382107;0.6089468779123952;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;24;1;0.6325256290773532;0.6090959925442685;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;25;1;0.6323578751164958;0.6092451071761417;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;26;1;0.6321901211556384;0.609394221808015;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;27;1;0.632022367194781;0.6095433364398882;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;28;1;0.6318546132339236;0.6096924510717614;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;29;1;0.6316868592730662;0.6098415657036347;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;30;1;0.6315191053122088;0.609990680335508;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;31;1;0.6313513513513513;0.6101397949673812;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;32;1;0.631183597390494;0.6102889095992544;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;33;1;0.6310158434296366;0.6104380242311277;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;34;1;0.6308480894687791;0.610587138863001;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;35;1;0.6306803355079217;0.6107362534948743;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;36;1;0.6305125815470644;0.6108853681267474;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;37;1;0.6303448275862069;0.6110344827586207;0.11;0.22;Architecture/buildings;True;0;0;0;0;0;HenriqueGarcia
1;38;2;0.35517241379310344;0.7420689655172413;0.11;0.22;Person;True;0;0;0;0;0;HenriqueGarcia
1;39;2;0.35051724137931034;0.756551724137931;0.11;0.22;Person;True;0;0;0;0;0;HenriqueGarcia
1;40;2;0.34586206896551724;0.7710344827586206;0.11;0.22;Person;True;0;0;0;0;0;HenriqueGarcia
1;41;2;0.34120689655172415;0.7855172413793103;0.11;0.22;Person;True;0;0;0;0;0;HenriqueGarcia
1;42;2;0.33655172413793105;0.8;0.11;0.22;Person;True;0;0;0;0;0;HenriqueGarcia
1;43;2;0.33655172413793105;0.8;0.11;0.22;Person;True;0;0;0;0;0;HenriqueGarcia
1;44;2;0.2893103448275862;0.8206896551724139;0.11;0.22;Person;True;0;0;0;0;0;HenriqueGarcia
1;45;2;0.24206896551724139;0.8413793103448276;0.11;0.22;Person;True;0;0;0;0;0;HenriqueGarcia
1;46;2;0.19482758620689655;0.8620689655172413;0.11;0.22;Person;True;0;0;0;0;0;HenriqueGarcia
1;47;2;0.14758620689655172;0.8827586206896552;0.11;0.22;Person;True;0;0;0;0;0;HenriqueGarcia
1;48;2;0.14758620689655172;0.8827586206896552;0.11;0.22;Person;True;0;0;0;0;0;HenriqueGarcia
1;49;2;0.1193103448275862;0.8689655172413793;0.11;0.22;Person;True;0;0;0;0;0;HenriqueGarcia
1;50;2;0.09103448275862068;0.8551724137931034;0.11;0.22;Person;True;0;0;0;0;0;HenriqueGarcia
1;51;2;0.06275862068965515;0.8413793103448276;0.11;0.22;Person;True;0;0;0;0;0;HenriqueGarcia
1;52;2;0.03448275862068964;0.8275862068965517;0.11;0.22;Person;True;0;0;0;0;0;HenriqueGarcia
